,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
HIST2H2BE|8349,ENSG00000184678,HIST2H2BE,8349,1,-0.49,0.00036,0.0067
LOC653501|653501,NA,NA,NA,NA,-0.43,0.00036,0.0067
ZCWPW1|55063,ENSG00000078487,ZCWPW1,55063,7,0.49,0.00036,0.0067
GLYAT|10249,ENSG00000149124,GLYAT,10249,11,1.6,0.00036,0.0067
DST|667,ENSG00000151914,DST,667,6,-0.36,0.00036,0.0067
PPP1R9A|55607,ENSG00000158528,PPP1R9A,55607,7,-0.9,0.00036,0.0067
VIPR2|7434,ENSG00000106018,VIPR2,7434,7,-0.86,0.00036,0.0067
ADRB2|154,ENSG00000169252,ADRB2,154,5,0.75,0.00036,0.0068
BEX4|56271,ENSG00000102409,BEX4,56271,X,-0.61,0.00037,0.0068
DNAJC27|51277,ENSG00000115137,DNAJC27,51277,2,-0.29,0.00037,0.0068
STXBP4|252983,ENSG00000166263,STXBP4,252983,17,-0.42,0.00037,0.0069
ANKRD49|54851,ENSG00000168876,ANKRD49,54851,11,-0.22,0.00038,0.0069
SYNJ2BP|55333,ENSG00000213463,SYNJ2BP,55333,14,-0.25,0.00038,0.007
SLC45A4|57210,ENSG00000022567,SLC45A4,57210,8,-0.72,0.00038,0.0071
SLIT1|6585,ENSG00000187122,SLIT1,6585,10,-0.62,0.00038,0.0071
FAM168B|130074,ENSG00000152102,FAM168B,130074,2,-0.25,0.00039,0.0071
EBPL|84650,ENSG00000123179,EBPL,84650,13,0.41,0.00039,0.0071
RAD52|5893,ENSG00000002016,RAD52,5893,12,-0.29,0.00039,0.0072
KIAA1841|84542,ENSG00000162929,KIAA1841,84542,2,-0.39,4e-04,0.0073
ZNF586|54807,ENSG00000083828,ZNF586,54807,19,-0.32,4e-04,0.0073
ATP11B|23200,ENSG00000058063,ATP11B,23200,3,-0.33,4e-04,0.0073
HMGCL|3155,ENSG00000117305,HMGCL,3155,1,0.41,4e-04,0.0073
PAIP2|51247,ENSG00000120727,PAIP2,51247,5,0.18,4e-04,0.0073
PQLC1|80148,ENSG00000122490,PQLC1,80148,18,0.35,4e-04,0.0073
MKKS|8195,ENSG00000125863,MKKS,8195,20,-0.28,4e-04,0.0073
KLHL29|114818,ENSG00000119771,KLHL29,114818,2,-0.84,4e-04,0.0073
C1orf88|128344,ENSG00000173947,PIFO,128344,1,-0.87,0.00041,0.0074
TMEM133|83935,ENSG00000170647,TMEM133,83935,11,0.4,0.00041,0.0074
SLC39A8|64116,ENSG00000138821,SLC39A8,64116,4,0.44,0.00041,0.0074
C8orf45|157777,ENSG00000178460,MCMDC2,157777,8,0.43,0.00041,0.0074
SOSTDC1|25928,ENSG00000171243,SOSTDC1,25928,7,-1,0.00041,0.0074
ZNF37A|7587,ENSG00000075407,ZNF37A,7587,10,-0.32,0.00041,0.0074
OTC|5009,ENSG00000036473,OTC,5009,X,1.3,0.00041,0.0074
ADI1|55256,ENSG00000182551,ADI1,55256,2,0.47,0.00041,0.0074
RAMP1|10267,ENSG00000132329,RAMP1,10267,2,0.81,0.00041,0.0074
C17orf65|339201,ENSG00000267080,ASB16-AS1,339201,17,-0.29,0.00042,0.0075
BRD3|8019,ENSG00000169925,BRD3,8019,9,-0.35,0.00042,0.0075
ZNF84|7637,ENSG00000198040,ZNF84,7637,12,-0.26,0.00042,0.0075
SLC22A5|6584,ENSG00000197375,SLC22A5,6584,5,-0.27,0.00042,0.0075
BMS1P5|399761,ENSG00000204177,BMS1P1,399761,10,-0.37,0.00042,0.0075
CARHSP1|23589,ENSG00000153048,CARHSP1,23589,16,-0.3,0.00042,0.0076
MRPL37|51253,ENSG00000116221,MRPL37,51253,1,0.25,0.00042,0.0076
CEP350|9857,ENSG00000135837,CEP350,9857,1,-0.24,0.00043,0.0076
GSTZ1|2954,ENSG00000100577,GSTZ1,2954,14,0.56,0.00043,0.0076
GSTK1|373156,ENSG00000197448,GSTK1,373156,7,0.33,0.00043,0.0076
HS6ST2|90161,ENSG00000171004,HS6ST2,90161,X,-1.3,0.00043,0.0076
CNNM3|26505,ENSG00000168763,CNNM3,26505,2,-0.24,0.00043,0.0076
LOC100131726|100131726,ENSG00000204949,FAM83A-AS1,100131726,8,1.7,0.00043,0.0076
KRBA1|84626,ENSG00000133619,KRBA1,84626,7,-0.63,0.00043,0.0076
CRTC3|64784,ENSG00000140577,CRTC3,64784,15,-0.26,0.00043,0.0076
TRAPPC9|83696,ENSG00000167632,TRAPPC9,83696,8,0.29,0.00043,0.0076
VPS37D|155382,ENSG00000176428,VPS37D,155382,7,0.49,0.00043,0.0077
CTNNA2|1496,ENSG00000066032,CTNNA2,1496,2,1.6,0.00043,0.0077
BAG3|9531,ENSG00000151929,BAG3,9531,10,0.35,0.00044,0.0077
REXO2|25996,ENSG00000076043,REXO2,25996,11,0.26,0.00044,0.0077
IFI35|3430,ENSG00000068079,IFI35,3430,17,0.39,0.00044,0.0077
BTBD11|121551,ENSG00000151136,BTBD11,121551,12,-0.67,0.00044,0.0077
