ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
LOC283174|283174,ENSG00000280237,MIR4697HG,283174,11,-0.89,2.5e-05,0.004
DARS2|55157,ENSG00000117593,DARS2,55157,1,0.27,2.7e-05,0.0042
GLB1L3|112937,ENSG00000166105,GLB1L3,112937,11,-1.5,2.7e-05,0.0042
ACBD5|91452,ENSG00000107897,ACBD5,91452,10,0.22,2.8e-05,0.0043
CYS1|192668,ENSG00000205795,CYS1,192668,2,-0.7,2.8e-05,0.0043
RIMBP3|85376,ENSG00000275793,RIMBP3,85376,22,-0.45,3e-05,0.0046
HOXD1|3231,ENSG00000128645,HOXD1,3231,2,-0.94,3.1e-05,0.0046
ZNF204P|7754,NA,NA,NA,NA,-0.52,3.1e-05,0.0046
CASP10|843,ENSG00000003400,CASP10,843,2,-0.29,3.1e-05,0.0046
ZDHHC15|158866,ENSG00000102383,ZDHHC15,158866,X,-0.64,3.2e-05,0.0046
PRKX|5613,ENSG00000183943,PRKX,5613,X,-0.29,3.2e-05,0.0046
CCDC77|84318,ENSG00000120647,CCDC77,84318,12,0.26,3.3e-05,0.0047
SOX8|30812,ENSG00000005513,SOX8,30812,16,-0.66,3.3e-05,0.0047
FAM176A|84141,ENSG00000115363,EVA1A,84141,2,-0.53,3.3e-05,0.0047
KAL1|3730,ENSG00000011201,ANOS1,3730,X,-0.57,3.4e-05,0.0048
GTPBP4|23560,ENSG00000107937,GTPBP4,23560,10,0.25,3.5e-05,0.0048
PAPLN|89932,ENSG00000100767,PAPLN,89932,14,-0.43,3.6e-05,0.005
NDN|4692,ENSG00000182636,NDN,4692,15,-0.41,4e-05,0.0054
MYOZ1|58529,ENSG00000177791,MYOZ1,58529,10,-0.66,4e-05,0.0054
NOP56|10528,ENSG00000101361,NOP56,10528,20,0.23,4.1e-05,0.0055
PEA15|8682,ENSG00000162734,PEA15,8682,1,-0.21,4.1e-05,0.0055
ANKRD58|347454,ENSG00000187808,SOWAHD,347454,X,-0.41,4.3e-05,0.0057
EHD4|30844,ENSG00000103966,EHD4,30844,15,-0.19,4.4e-05,0.0057
CREB5|9586,ENSG00000146592,CREB5,9586,7,-0.51,4.4e-05,0.0057
IDH1|3417,ENSG00000138413,IDH1,3417,2,0.3,4.5e-05,0.0058
SORD|6652,ENSG00000140263,SORD,6652,15,0.32,4.5e-05,0.0058
TMEM63C|57156,ENSG00000165548,TMEM63C,57156,14,-0.94,5.1e-05,0.0065
RGMA|56963,ENSG00000182175,RGMA,56963,15,-0.61,5.1e-05,0.0065
CLECL1|160365,ENSG00000184293,CLECL1,160365,12,-0.52,5.2e-05,0.0065
CXorf21|80231,ENSG00000120280,CXorf21,80231,X,-0.42,5.3e-05,0.0066
COL19A1|1310,ENSG00000082293,COL19A1,1310,6,-0.6,5.3e-05,0.0066
GALNT10|55568,ENSG00000164574,GALNT10,55568,5,-0.38,5.4e-05,0.0066
CPAMD8|27151,ENSG00000160111,CPAMD8,27151,19,-0.77,5.5e-05,0.0066
CD207|50489,ENSG00000116031,CD207,50489,2,-1.1,5.5e-05,0.0066
SLC15A2|6565,ENSG00000163406,SLC15A2,6565,3,-0.58,5.7e-05,0.0068
GGH|8836,ENSG00000137563,GGH,8836,8,0.55,5.7e-05,0.0068
IGSF9B|22997,ENSG00000080854,IGSF9B,22997,11,-0.83,5.8e-05,0.0068
RNF175|285533,ENSG00000145428,RNF175,285533,4,-0.51,5.8e-05,0.0068
CCL17|6361,ENSG00000102970,CCL17,6361,16,-0.82,5.8e-05,0.0068
MTMR2|8898,ENSG00000087053,MTMR2,8898,11,0.21,5.8e-05,0.0068
VPS37A|137492,ENSG00000155975,VPS37A,137492,8,0.26,6e-05,0.0069
C12orf69|440087,ENSG00000179256,SMCO3,440087,12,-0.47,6e-05,0.0069
HPCAL4|51440,ENSG00000116983,HPCAL4,51440,1,-0.83,6.1e-05,0.0069
S1PR2|9294,ENSG00000267534,S1PR2,9294,19,-0.24,6.1e-05,0.0069
CDSN|1041,ENSG00000206460,CDSN,1041,CHR_HSCHR6_MHC_QBL_CTG1,-0.66,6.6e-05,0.0074
MYBPC1|4604,ENSG00000196091,MYBPC1,4604,12,0.96,6.7e-05,0.0074
ZNF626|199777,ENSG00000188171,ZNF626,199777,19,-0.6,6.7e-05,0.0074
CACNA1I|8911,ENSG00000100346,CACNA1I,8911,22,-0.74,6.8e-05,0.0074
C20orf7|79133,ENSG00000101247,NDUFAF5,79133,20,0.27,6.8e-05,0.0075
GNPNAT1|64841,ENSG00000100522,GNPNAT1,64841,14,0.3,7e-05,0.0075
GLYATL2|219970,ENSG00000156689,GLYATL2,219970,11,-0.95,7e-05,0.0075
SLC6A3|6531,ENSG00000142319,SLC6A3,6531,5,-1.2,7.1e-05,0.0076
RIBC1|158787,ENSG00000158423,RIBC1,158787,X,-0.47,7.3e-05,0.0077
TXNRD1|7296,ENSG00000198431,TXNRD1,7296,12,0.56,7.3e-05,0.0078
UPP1|7378,ENSG00000183696,UPP1,7378,7,-0.39,7.5e-05,0.0079
SEPHS1|22929,ENSG00000086475,SEPHS1,22929,10,0.17,7.6e-05,0.0079
CD1B|910,ENSG00000158485,CD1B,910,1,-0.78,7.7e-05,0.008
SCO1|6341,ENSG00000133028,SCO1,6341,17,0.17,7.8e-05,0.008
PEX5|5830,ENSG00000139197,PEX5,5830,12,0.2,8.1e-05,0.0083
FGA|2243,ENSG00000171560,FGA,2243,4,1.5,8.2e-05,0.0084
PRRT3|285368,ENSG00000163704,PRRT3,285368,3,-0.38,8.5e-05,0.0086
TTLL2|83887,ENSG00000120440,TTLL2,83887,6,-0.64,8.9e-05,0.0088
LPCAT1|79888,ENSG00000275079,LPCAT1,79888,CHR_HSCHR5_3_CTG1,-0.49,8.9e-05,0.0088
SRXN1|140809,ENSG00000271303,SRXN1,140809,20,0.53,8.9e-05,0.0088
C1orf133|574036,NA,NA,NA,NA,-0.52,8.9e-05,0.0088
CD1C|911,ENSG00000158481,CD1C,911,1,-0.7,8.9e-05,0.0088
GGA2|23062,ENSG00000103365,GGA2,23062,16,-0.19,9e-05,0.0088
EMB|133418,ENSG00000170571,EMB,133418,5,-0.45,9e-05,0.0088
IFNGR2|3460,ENSG00000262795,IFNGR2,3460,CHR_HSCHR21_4_CTG1_1,-0.22,9.3e-05,0.009
KCTD3|51133,ENSG00000136636,KCTD3,51133,1,0.32,9.8e-05,0.0093
MCCC2|64087,ENSG00000131844,MCCC2,64087,5,0.2,9.8e-05,0.0093
CD1E|913,ENSG00000158488,CD1E,913,1,-0.78,9.8e-05,0.0093
CASR|846,ENSG00000036828,CASR,846,3,-0.99,9.8e-05,0.0093
LEFTY2|7044,ENSG00000143768,LEFTY2,7044,1,-0.73,9.9e-05,0.0093
CYSLTR1|10800,ENSG00000173198,CYSLTR1,10800,X,-0.51,9.9e-05,0.0093
MRPL42|28977,ENSG00000198015,MRPL42,28977,12,0.23,1e-04,0.0093
MEF2C|4208,ENSG00000081189,MEF2C,4208,5,-0.35,1e-04,0.0095
KCNJ15|3772,ENSG00000157551,KCNJ15,3772,21,-0.73,1e-04,0.0096
ZFP42|132625,ENSG00000179059,ZFP42,132625,4,1.1,1e-04,0.0096
TMEM233|387890,ENSG00000224982,TMEM233,387890,12,-0.59,0.00011,0.0096
MKRN3|7681,ENSG00000179455,MKRN3,7681,15,0.91,0.00011,0.0096
DLX3|1747,ENSG00000064195,DLX3,1747,17,-0.79,0.00011,0.0096
DCTN6|10671,ENSG00000104671,DCTN6,10671,8,0.2,0.00011,0.0096
FLJ35776|649446,NA,NA,NA,NA,0.36,0.00011,0.0096
LIX1L|128077,ENSG00000271601,LIX1L,128077,1,-0.3,0.00011,0.0096
PTCHD2|57540,ENSG00000204624,PTCHD2,57540,1,-0.74,0.00011,0.0096
PGD|5226,ENSG00000142657,PGD,5226,1,0.37,0.00011,0.0096
SEMA4G|57715,ENSG00000095539,SEMA4G,57715,10,0.52,0.00011,0.0096
PDE6B|5158,ENSG00000133256,PDE6B,5158,4,-0.52,0.00011,0.0096
ZFP36L1|677,ENSG00000185650,ZFP36L1,677,14,-0.31,0.00011,0.0096
GFM2|84340,ENSG00000164347,GFM2,84340,5,0.19,0.00011,0.0098
XKRX|402415,ENSG00000182489,XKRX,402415,X,-0.71,0.00011,0.0098
FAM129A|116496,ENSG00000135842,FAM129A,116496,1,-0.41,0.00011,0.0098
KCNE3|10008,ENSG00000175538,KCNE3,10008,11,0.41,0.00012,0.0099
GRIK4|2900,ENSG00000149403,GRIK4,2900,11,-0.56,0.00012,0.01
CHUK|1147,ENSG00000213341,CHUK,1147,10,0.18,0.00012,0.01
MRPS35|60488,ENSG00000061794,MRPS35,60488,12,0.25,0.00012,0.01
SCN2B|6327,ENSG00000149575,SCN2B,6327,11,-0.62,0.00012,0.01
KLHDC8A|55220,ENSG00000162873,KLHDC8A,55220,1,-0.6,0.00012,0.01
INE1|8552,ENSG00000224975,INE1,8552,X,-0.34,0.00012,0.01
CST6|1474,ENSG00000175315,CST6,1474,11,-0.8,0.00012,0.01
RASGRF1|5923,ENSG00000058335,RASGRF1,5923,15,-0.82,0.00012,0.01
CHRNA6|8973,ENSG00000147434,CHRNA6,8973,8,-0.45,0.00012,0.01
CEACAM21|90273,ENSG00000007129,CEACAM21,90273,19,-0.49,0.00013,0.01
TLR2|7097,ENSG00000137462,TLR2,7097,4,-0.46,0.00013,0.01
OLIG1|116448,ENSG00000184221,OLIG1,116448,21,-0.74,0.00013,0.01
MAPKAPK5|8550,ENSG00000089022,MAPKAPK5,8550,12,0.15,0.00013,0.01
