,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
TREH|11181,ENSG00000118094,TREH,11181,11,2.2,1.2e-08,1.2e-06
CHDH|55349,ENSG00000016391,CHDH,55349,3,0.97,1.2e-08,1.2e-06
ADHFE1|137872,ENSG00000147576,ADHFE1,137872,8,0.82,1.2e-08,1.3e-06
HS6ST1|9394,ENSG00000136720,HS6ST1,9394,2,-0.63,1.2e-08,1.3e-06
HNF4A|3172,ENSG00000101076,HNF4A,3172,20,2,1.3e-08,1.3e-06
AMDHD1|144193,ENSG00000139344,AMDHD1,144193,12,1.4,1.3e-08,1.3e-06
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.47,1.3e-08,1.3e-06
ADD1|118,ENSG00000087274,ADD1,118,4,0.29,1.4e-08,1.3e-06
PDZD3|79849,ENSG00000172367,PDZD3,79849,11,1.6,1.4e-08,1.3e-06
IL17RB|55540,ENSG00000056736,IL17RB,55540,3,1.5,1.4e-08,1.3e-06
LRRN2|10446,ENSG00000170382,LRRN2,10446,1,-1.9,1.4e-08,1.4e-06
ABHD10|55347,ENSG00000144827,ABHD10,55347,3,0.49,1.6e-08,1.5e-06
MOGAT3|346606,ENSG00000106384,MOGAT3,346606,7,2.2,1.6e-08,1.5e-06
MAP1A|4130,ENSG00000166963,MAP1A,4130,15,-0.83,1.7e-08,1.6e-06
IL12RB2|3595,ENSG00000081985,IL12RB2,3595,1,2.5,1.7e-08,1.6e-06
SLC22A7|10864,ENSG00000137204,SLC22A7,10864,6,2.8,1.7e-08,1.6e-06
DDX3X|1654,ENSG00000215301,DDX3X,1654,X,-0.42,1.8e-08,1.6e-06
GPR44|11251,ENSG00000183134,PTGDR2,11251,11,0.78,1.8e-08,1.7e-06
CDHR5|53841,ENSG00000099834,CDHR5,53841,11,2.8,1.8e-08,1.7e-06
MIOX|55586,ENSG00000100253,MIOX,55586,22,2.4,1.9e-08,1.7e-06
FAAH|2166,ENSG00000117480,FAAH,2166,1,0.76,2e-08,1.8e-06
B3GNT3|10331,ENSG00000179913,B3GNT3,10331,19,1.7,2.2e-08,2e-06
C10orf108|414235,NA,NA,NA,NA,1,2.2e-08,2e-06
LRCH2|57631,ENSG00000130224,LRCH2,57631,X,-1.8,2.2e-08,2e-06
SLC35B3|51000,ENSG00000124786,SLC35B3,51000,6,0.47,2.3e-08,2e-06
EI24|9538,ENSG00000149547,EI24,9538,11,-0.3,2.5e-08,2.2e-06
CKB|1152,ENSG00000166165,CKB,1152,14,1.2,2.7e-08,2.4e-06
SSTR1|6751,ENSG00000139874,SSTR1,6751,14,1.4,2.7e-08,2.4e-06
TFEC|22797,ENSG00000105967,TFEC,22797,7,1.4,2.7e-08,2.4e-06
PTH1R|5745,ENSG00000160801,PTH1R,5745,3,1.8,2.8e-08,2.4e-06
LOC643719|643719,ENSG00000268751,SCGB1B2P,643719,19,0.99,2.9e-08,2.5e-06
NRK|203447,ENSG00000123572,NRK,203447,X,-2.3,3.2e-08,2.8e-06
IFI27|3429,ENSG00000275214,IFI27,3429,CHR_HSCHR14_7_CTG1,1.4,3.2e-08,2.8e-06
BCL9|607,ENSG00000116128,BCL9,607,1,-0.54,3.2e-08,2.8e-06
FOXD1|2297,ENSG00000251493,FOXD1,2297,5,-1.6,3.3e-08,2.8e-06
DNAJC10|54431,ENSG00000077232,DNAJC10,54431,2,-0.43,3.3e-08,2.8e-06
MID2|11043,ENSG00000080561,MID2,11043,X,-0.52,3.3e-08,2.8e-06
VCL|7414,ENSG00000035403,VCL,7414,10,-0.53,3.5e-08,3e-06
QSOX1|5768,ENSG00000116260,QSOX1,5768,1,-0.67,3.6e-08,3e-06
ANKS4B|257629,ENSG00000175311,ANKS4B,257629,16,2.1,3.8e-08,3.1e-06
PHEX|5251,ENSG00000102174,PHEX,5251,X,-1.4,3.8e-08,3.1e-06
ZFYVE9|9372,ENSG00000157077,ZFYVE9,9372,1,-0.5,3.8e-08,3.1e-06
ACHE|43,ENSG00000087085,ACHE,43,7,1.6,3.9e-08,3.2e-06
ATHL1|80162,ENSG00000142102,ATHL1,80162,11,1.8,4.2e-08,3.4e-06
C9orf66|157983,ENSG00000183784,C9orf66,157983,9,1.3,4.4e-08,3.6e-06
AQP1|358,ENSG00000240583,AQP1,358,7,1.7,4.5e-08,3.6e-06
HSPA12A|259217,ENSG00000165868,HSPA12A,259217,10,-1.1,4.5e-08,3.6e-06
ABHD11|83451,ENSG00000106077,ABHD11,83451,7,0.81,4.7e-08,3.8e-06
FAT2|2196,ENSG00000086570,FAT2,2196,5,-1.3,4.8e-08,3.8e-06
DNMBP|23268,ENSG00000107554,DNMBP,23268,10,-0.52,4.9e-08,3.9e-06
HLA-J|3137,NA,NA,NA,NA,1.3,4.9e-08,3.9e-06
POLA1|5422,ENSG00000101868,POLA1,5422,X,-0.41,4.9e-08,3.9e-06
MCM6|4175,ENSG00000076003,MCM6,4175,2,-0.5,5e-08,3.9e-06
AKR7A3|22977,ENSG00000162482,AKR7A3,22977,1,2,5e-08,3.9e-06
NKAP|79576,ENSG00000101882,NKAP,79576,X,-0.37,5.1e-08,3.9e-06
UXS1|80146,ENSG00000115652,UXS1,80146,2,-0.52,5.3e-08,4.1e-06
DENND1C|79958,ENSG00000205744,DENND1C,79958,19,0.49,5.3e-08,4.1e-06
WIPI1|55062,ENSG00000070540,WIPI1,55062,17,0.48,5.5e-08,4.2e-06
RGS12|6002,ENSG00000159788,RGS12,6002,4,0.63,5.6e-08,4.2e-06
EZR|7430,ENSG00000092820,EZR,7430,6,0.56,5.9e-08,4.4e-06
HAUS7|55559,ENSG00000213397,HAUS7,55559,X,0.71,5.9e-08,4.4e-06
PGA3|643834,ENSG00000229859,PGA3,643834,11,1.7,5.9e-08,4.4e-06
CDHR2|54825,ENSG00000074276,CDHR2,54825,5,2.1,6e-08,4.4e-06
CYP8B1|1582,ENSG00000180432,CYP8B1,1582,3,1.4,6e-08,4.4e-06
NBAS|51594,ENSG00000151779,NBAS,51594,2,-0.28,6.1e-08,4.5e-06
KLK6|5653,ENSG00000167755,KLK6,5653,19,-2.2,6.8e-08,5e-06
MUC12|10071,ENSG00000205277,MUC12,10071,7,2.2,7e-08,5.1e-06
ENOX2|10495,ENSG00000165675,ENOX2,10495,X,-0.49,7.1e-08,5.1e-06
EPB41L4B|54566,ENSG00000095203,EPB41L4B,54566,9,-1.4,7.2e-08,5.2e-06
SLC6A20|54716,ENSG00000163817,SLC6A20,54716,3,1.8,7.4e-08,5.3e-06
ERLEC1|27248,ENSG00000068912,ERLEC1,27248,2,-0.31,7.8e-08,5.6e-06
PLK1S1|55857,ENSG00000088970,KIZ,55857,20,-0.48,8e-08,5.7e-06
SQLE|6713,ENSG00000104549,SQLE,6713,8,-1.1,8e-08,5.7e-06
AKR7L|246181,NA,NA,NA,NA,1.2,8.1e-08,5.7e-06
ACY3|91703,ENSG00000132744,ACY3,91703,11,1.6,8.1e-08,5.7e-06
CSE1L|1434,ENSG00000124207,CSE1L,1434,20,-0.35,8.2e-08,5.7e-06
R3HDM1|23518,ENSG00000048991,R3HDM1,23518,2,-0.32,8.3e-08,5.8e-06
KIAA1543|57662,ENSG00000076826,CAMSAP3,57662,19,0.49,8.4e-08,5.8e-06
TCEANC|170082,ENSG00000176896,TCEANC,170082,X,-0.39,8.5e-08,5.9e-06
GPR27|2850,ENSG00000170837,GPR27,2850,3,-1.7,8.7e-08,6e-06
HECW2|57520,ENSG00000138411,HECW2,57520,2,-1.5,8.7e-08,6e-06
ROR2|4920,ENSG00000169071,ROR2,4920,9,-1.8,8.8e-08,6e-06
NRXN3|9369,ENSG00000021645,NRXN3,9369,14,1.9,8.8e-08,6e-06
HYOU1|10525,ENSG00000149428,HYOU1,10525,11,-0.42,9.1e-08,6.2e-06
SYT14|255928,ENSG00000143469,SYT14,255928,1,-1.5,9.6e-08,6.5e-06
TEC|7006,ENSG00000135605,TEC,7006,4,0.4,9.6e-08,6.5e-06
FGD1|2245,ENSG00000102302,FGD1,2245,X,-0.69,9.8e-08,6.5e-06
C6orf41|100133205,ENSG00000224843,LINC00240,100133205,6,0.96,1e-07,6.8e-06
LRRFIP2|9209,ENSG00000093167,LRRFIP2,9209,3,0.52,1.1e-07,7e-06
INA|9118,ENSG00000148798,INA,9118,10,-1.7,1.1e-07,7e-06
CHST13|166012,ENSG00000180767,CHST13,166012,3,1.7,1.1e-07,7.2e-06
TAGLN3|29114,ENSG00000144834,TAGLN3,29114,3,2.1,1.1e-07,7.4e-06
TPRN|286262,ENSG00000176058,TPRN,286262,9,0.69,1.2e-07,7.7e-06
MPRIP|23164,ENSG00000133030,MPRIP,23164,17,-0.39,1.2e-07,7.7e-06
C9orf30|91283,ENSG00000066697,MSANTD3,91283,9,-0.43,1.2e-07,7.8e-06
MSLN|10232,ENSG00000102854,MSLN,10232,16,2.7,1.2e-07,7.8e-06
GIPC2|54810,ENSG00000137960,GIPC2,54810,1,1.4,1.2e-07,8e-06
WDFY2|115825,ENSG00000139668,WDFY2,115825,13,-0.48,1.2e-07,8e-06
KCNK5|8645,ENSG00000164626,KCNK5,8645,6,0.95,1.3e-07,8e-06
PLCH2|9651,ENSG00000276429,PLCH2,9651,CHR_HSCHR1_1_CTG3,1.4,1.3e-07,8.3e-06
SGIP1|84251,ENSG00000118473,SGIP1,84251,1,-1.5,1.3e-07,8.3e-06
C8orf46|254778,ENSG00000169085,C8orf46,254778,8,0.99,1.3e-07,8.3e-06
ROGDI|79641,ENSG00000067836,ROGDI,79641,16,0.5,1.3e-07,8.4e-06
CNDP1|84735,ENSG00000150656,CNDP1,84735,18,1.3,1.4e-07,8.6e-06
UBE2A|7319,ENSG00000077721,UBE2A,7319,X,-0.28,1.4e-07,8.8e-06
PNMA6A|84968,ENSG00000235961,PNMA6A,84968,X,1.7,1.5e-07,9e-06
RNF183|138065,ENSG00000165188,RNF183,138065,9,1.5,1.5e-07,9e-06
FHL1|2273,ENSG00000022267,FHL1,2273,X,1.7,1.5e-07,9e-06
ENOSF1|55556,ENSG00000132199,ENOSF1,55556,18,0.56,1.5e-07,9.2e-06
SLC39A6|25800,ENSG00000141424,SLC39A6,25800,18,-0.54,1.6e-07,9.7e-06
CBLC|23624,ENSG00000142273,CBLC,23624,19,1.6,1.6e-07,9.9e-06
RERG|85004,ENSG00000134533,RERG,85004,12,0.93,1.6e-07,9.9e-06
TMEM59L|25789,ENSG00000105696,TMEM59L,25789,19,-1.5,1.7e-07,1e-05
C5orf23|79614,NA,NA,NA,NA,1.5,1.7e-07,1e-05
CACNA2D4|93589,ENSG00000151062,CACNA2D4,93589,12,0.86,1.8e-07,1.1e-05
MESP2|145873,ENSG00000188095,MESP2,145873,15,1.3,1.8e-07,1.1e-05
COL23A1|91522,ENSG00000050767,COL23A1,91522,5,1.5,1.9e-07,1.1e-05
PATL2|197135,ENSG00000282077,PATL2,197135,CHR_HSCHR15_3_CTG8,1,1.9e-07,1.1e-05
HEY1|23462,ENSG00000164683,HEY1,23462,8,-1.1,1.9e-07,1.1e-05
MSH2|4436,ENSG00000095002,MSH2,4436,2,-0.41,1.9e-07,1.1e-05
ABCC6P1|653190,NA,NA,NA,NA,1.6,1.9e-07,1.1e-05
TFE3|7030,ENSG00000068323,TFE3,7030,X,-0.33,2e-07,1.2e-05
POLR2D|5433,ENSG00000144231,POLR2D,5433,2,-0.33,2.1e-07,1.2e-05
GSTK1|373156,ENSG00000197448,GSTK1,373156,7,0.5,2.1e-07,1.2e-05
CEP68|23177,ENSG00000011523,CEP68,23177,2,-0.4,2.2e-07,1.2e-05
C14orf159|80017,ENSG00000133943,C14orf159,80017,14,0.48,2.2e-07,1.2e-05
C22orf13|83606,ENSG00000138867,GUCD1,83606,22,0.39,2.2e-07,1.2e-05
SIM2|6493,ENSG00000159263,SIM2,6493,21,-1.1,2.2e-07,1.2e-05
NYX|60506,ENSG00000188937,NYX,60506,X,1.3,2.2e-07,1.3e-05
KCNH2|3757,ENSG00000055118,KCNH2,3757,7,1.7,2.3e-07,1.3e-05
ACADVL|37,ENSG00000072778,ACADVL,37,17,0.5,2.3e-07,1.3e-05
LOC151534|151534,NA,NA,NA,NA,0.84,2.3e-07,1.3e-05
GRIA4|2893,ENSG00000152578,GRIA4,2893,11,2.2,2.3e-07,1.3e-05
C3orf39|84892,ENSG00000144647,POMGNT2,84892,3,-0.36,2.3e-07,1.3e-05
CDH9|1007,ENSG00000113100,CDH9,1007,5,1.9,2.3e-07,1.3e-05
C7orf23|79161,ENSG00000135185,TMEM243,79161,7,0.46,2.4e-07,1.4e-05
