,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
MSMB|4477,ENSG00000263639,MSMB,4477,10,4.6,1.5e-06,0.00099
TSEN54|283989,ENSG00000182173,TSEN54,283989,17,1,1.5e-06,0.00099
H3F3C|440093,ENSG00000188375,H3F3C,440093,12,0.98,2e-06,0.0012
ICT1|3396,ENSG00000167862,ICT1,3396,17,0.96,2.1e-06,0.0012
TACO1|51204,ENSG00000136463,TACO1,51204,17,0.96,2.1e-06,0.0012
SIRT7|51547,ENSG00000187531,SIRT7,51547,17,0.99,2.2e-06,0.0012
AKAP2|11217,ENSG00000241978,AKAP2,11217,9,-2.3,2.4e-06,0.0013
GINS2|51659,ENSG00000131153,GINS2,51659,16,1.6,2.4e-06,0.0013
TBCD|6904,ENSG00000278759,TBCD,6904,CHR_HSCHR17_1_CTG9,0.86,2.8e-06,0.0014
TRAF1|7185,ENSG00000056558,TRAF1,7185,9,-1.5,3e-06,0.0015
ATP5H|10476,ENSG00000167863,ATP5H,10476,17,0.92,3.2e-06,0.0015
GPS1|2873,ENSG00000169727,GPS1,2873,17,0.9,3.3e-06,0.0015
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.95,3.5e-06,0.0015
NPLOC4|55666,ENSG00000182446,NPLOC4,55666,17,0.72,3.5e-06,0.0015
IGJ|3512,ENSG00000132465,JCHAIN,3512,4,-3.8,3.6e-06,0.0015
ZNF426|79088,ENSG00000130818,ZNF426,79088,19,-1.5,3.6e-06,0.0015
ANXA3|306,ENSG00000138772,ANXA3,306,4,-2.8,3.8e-06,0.0016
DHRS2|10202,ENSG00000100867,DHRS2,10202,14,5.6,4e-06,0.0016
GDI1|2664,ENSG00000203879,GDI1,2664,X,0.78,4.1e-06,0.0016
GLRA3|8001,ENSG00000145451,GLRA3,8001,4,4.4,6.2e-06,0.0024
HGS|9146,ENSG00000185359,HGS,9146,17,0.75,6.6e-06,0.0024
SUPT4H1|6827,ENSG00000213246,SUPT4H1,6827,17,0.83,6.6e-06,0.0024
ARMC7|79637,ENSG00000125449,ARMC7,79637,17,0.78,7.6e-06,0.0027
ZNF268|10795,ENSG00000090612,ZNF268,10795,12,-1.2,8.3e-06,0.0029
FAM13A|10144,ENSG00000138640,FAM13A,10144,4,-1.2,8.7e-06,0.003
SUMO2|6613,ENSG00000188612,SUMO2,6613,17,0.68,8.9e-06,0.003
C17orf70|80233,ENSG00000185504,FAAP100,80233,17,0.86,1e-05,0.0033
